indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
120,170661738,163105321,161608445,173537349,216325697,195020960,201394988,195255879,194043593,207439601,202028432,197264427,185217333,183559397,175811291,177438567,185167538,197090909,209978066,195001672,215116040,251467430,262711579,23900
121,185483606,171085163,172886494,189824780,213623009,212792517,219805273,213688340,212512252,225908578,224223491,221337181,285234516,269949141,233519652,242409558,205853322,223331338,232543726,215442140,236320037,263038189,292237755,24100
122,163702808,174316600,163895348,179973074,197720034,195979116,198057454,187814339,188627998,200942581,198785283,203168071,197423735,208019598,196063026,202297298,182083065,194713532,208504088,192724179,212882525,233491658,261100402,24300
123,163690803,189421290,160342853,183641833,197329971,202586783,199576306,190505346,184486318,199073379,205235001,211714274,195188100,192028601,189426573,187569745,200128890,196176829,209331501,196006704,213605718,235952686,260102523,24500
124,159491333,195996897,158556912,171785439,191767710,199496523,203642687,187568658,180976640,196000107,201993488,211175149,193513451,190983395,177380881,180962336,213408492,193577608,209549448,193308236,211088841,233513427,260210125,24700
125,159357300,175996843,160270220,174085231,189196337,219268830,204051796,191081572,188194853,203740185,204879006,214684207,194768848,194751566,176825834,180957906,205369442,228741667,212169191,197761408,216853194,242868653,271632291,24900
126,160322211,176492818,165777700,171744710,187053770,223894433,205994796,195717700,188602556,202555993,206435694,216423021,196302732,193154447,177718673,183276506,196610095,226592002,242492909,198128227,218493828,242816821,273093843,25100
127,168160798,185895248,173612943,179193251,208565300,238800213,211244953,199148522,192242506,212962708,210613171,213521174,192428353,194712723,178500886,180255735,188901035,211859093,245024328,197961144,231985093,239950842,260156229,25300
128,164033741,174860354,178874346,166826482,187603181,216974169,206886300,194256320,185603613,204774224,206272763,218970185,186894937,187287566,172092254,184456611,185832910,200779104,218186411,202417971,248991114,239291962,259649060,25500
129,152235101,165314879,199684187,165720226,185305517,214138536,211694310,192243713,184147017,203543652,206218514,217628836,192372039,191912939,174744490,175929111,181245595,195341618,208695403,230849346,243342906,237492397,259715259,25700
130,167155086,166993792,185581578,169492644,178257847,204895912,220572126,194938190,184825840,209839133,208383758,223454297,196497474,190677912,176688560,177734611,187162657,197628102,210520882,238198705,230052141,240575295,274642025,25900
131,167481889,165500951,173468636,173201253,181453053,205366252,208719560,196676598,190344540,210994560,207856654,233901066,199649343,197664398,177909215,177701563,192899189,196051726,209537676,213619558,221852748,237704011,265969501,26100
132,155433680,168106679,167204692,173835963,174252711,206552116,213368855,193398458,180670765,202339901,206310512,225781297,201148715,198368650,175290580,178208820,181541412,191371600,200354721,194243688,214334779,236322784,261632602,26300
133,155978741,164533777,163360448,195265188,177802326,201959151,218170667,195015715,189115452,205009147,208529529,236383663,203342095,201968317,177451616,178827766,185019332,201324385,205837739,196815234,213289920,235357454,262582428,26500
134,153423466,172588276,160747474,203164528,179289178,215073219,211532155,194220012,183967805,200753570,209801895,228130524,210601839,207079321,177359998,177729043,189458322,194029370,201695611,194078162,212756158,256861216,266039941,26700
135,149820394,158263306,165222574,198964496,184308318,203111600,230514244,193184086,186723086,205000807,209176396,217418763,209569623,203207648,179266333,176814973,190008333,188715178,208329279,192482223,212018312,271998761,263123696,26900
136,164255067,174092124,173286004,192453443,187270096,207383554,229177515,206784983,190107341,211742009,216379199,225568622,222593545,214687114,188215397,185281882,196024035,196811868,208870778,196137193,218581515,272134452,266987108,27100
137,160905249,164617006,174985140,180632170,189234419,198687806,224465585,196445589,185490844,203213297,212261265,216043321,213243928,214811912,185286333,180315163,189242886,188209649,196165624,193499246,208147928,249816889,257195476,27300
138,153029187,157226810,170489199,170260356,213032231,194874209,221450238,205259615,185099201,206269673,220375963,213688592,210534226,210069686,183347430,182963269,192583837,194233740,199177192,194799564,210843831,240499225,257778841,27500
139,164074270,166890493,163209697,172067478,220176376,198146829,227837584,208565007,186250289,204980398,227160910,222966674,211387023,211968886,191883976,188731810,196771171,194576147,202962250,195426654,217627083,240768177,263891888,27700
140,165044829,160707967,165651316,173269507,196573029,197423980,215523401,202558262,186301143,216278340,221632463,219189761,212114167,210828537,188706325,190107145,199135347,194302445,201644259,191182683,210417545,238565361,259123390,27900
141,160007273,165880233,162668607,177222893,200605422,201394658,223146005,223980569,201057530,232818561,229429341,229579065,224276230,216069538,197790890,195645768,205583433,199942888,206337179,195149970,214938458,242583307,259880111,28100
142,157462008,157834166,159471019,179505244,186648186,201436142,209721803,208581671,190083443,224758779,228658000,217128950,215194620,217189967,192595036,187783124,201014991,195429705,198755287,187378801,206198214,235526106,267542451,28300
