indice,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,franja
77,93769,103449,113111,122577,133513,152909,154070,144752,126075,119413,115533,108060,97077,97164,102039,108168,114052,117775,125030,106665,117644,129649,140514,15300
78,91928,100672,109855,119497,129443,150172,153192,144853,123108,117054,112542,111404,96882,98152,102073,106849,116844,118485,124748,106805,116306,129962,138148,15500
79,88950,97696,108014,117632,126542,147814,154399,146443,126527,118381,113008,113615,99252,99175,105290,107449,116325,123392,127581,108025,118313,131813,140770,15700
80,86819,95455,103365,111458,121806,135440,150192,143443,121763,119606,116387,110475,98973,98997,100707,105910,112733,116199,125812,104017,113278,129838,136595,15900
81,83662,90621,100325,108438,119839,130969,150854,140690,125017,118829,114709,107895,105416,104455,107427,109988,114783,119244,124043,104685,113507,129351,135952,16100
82,82713,90621,99584,105932,119263,128263,142518,139943,124934,121939,113534,108587,98565,101296,102975,107146,116068,120427,121681,103409,111780,126253,132541,16300
83,79010,86499,97226,104268,115474,123437,137897,137169,125171,120617,114142,108540,98630,97802,101194,107130,117431,123630,124898,106055,118133,135376,134631,16500
84,76307,83828,92821,98041,107934,124487,127623,134027,118679,116242,110056,105055,95644,95669,98830,104569,111116,117173,124339,99458,110741,125571,131593,16700
85,82812,87152,96705,101016,109826,127254,129766,139510,122986,118469,117394,113569,100631,102640,103275,106478,116495,123432,127782,101552,114066,129406,133581,16900
86,74805,80160,89104,95519,104472,117791,123928,131747,116276,111956,109452,109250,98149,98387,101178,104147,112606,118780,120660,104802,110112,121615,127826,17100
87,72754,77641,86064,92991,100592,113659,120804,126168,114303,109384,107813,105856,94357,92848,100638,106203,115224,121306,119237,100265,107894,120251,125046,17300
88,73751,75327,83778,90972,97667,110891,119884,127031,115535,111893,107853,108036,97087,95843,97736,101621,109969,117464,122351,97795,107824,120816,127429,17500
89,69359,73653,80816,90521,93180,106012,119951,119235,110172,108383,105934,103741,95676,97118,96547,100427,109389,114853,120451,97845,107338,120807,126577,17700
90,66893,72680,80174,89061,95220,105320,116143,116574,107552,106473,104944,101139,92067,91512,95395,100151,106228,113453,116423,98372,104512,120803,125938,17900
91,75219,79824,85256,93380,100622,111666,121189,126178,119827,115595,113685,111198,108083,105938,104608,111706,119828,125003,129864,108579,117143,129898,135126,18100
92,64152,69325,76407,82223,90125,98520,106405,114001,105824,104500,100807,99406,92513,91223,93951,97529,107262,113795,117493,98419,107289,118063,120387,18300
93,63133,69054,74327,80831,88966,96615,104779,108960,100678,102025,98870,96636,90053,88269,89503,93641,104458,110989,115674,96542,110404,119860,119585,18500
94,62460,67457,71879,79885,87927,95763,102143,106501,99198,99469,96577,94293,88911,89115,89157,93445,101632,110367,114223,96460,108051,115445,117860,18700
95,62249,66472,69593,78814,86377,93301,101258,104639,96477,93244,94971,92748,86699,87409,90104,93093,101565,110882,119875,97524,110813,123784,121167,18900
96,60139,63918,68467,75946,83026,91437,101213,104015,94518,93800,94705,90672,85483,85690,86532,91296,98129,105782,110666,94044,107642,117705,120351,19100
97,60824,64712,67568,73993,83691,90543,98867,103126,95279,92887,93268,93047,87127,85507,86903,91303,96977,107118,109349,94732,108108,116736,122029,19300
98,58594,63133,65510,69684,82244,87578,96036,99128,91100,90032,91157,90290,84223,82936,84916,88153,93201,101554,108441,90405,103091,114958,119026,19500
99,57568,61286,64138,68582,77299,84815,96397,97626,88726,88401,90775,87062,81480,81281,82722,84935,91183,101371,106910,88453,102253,114461,118961,19700
100,57605,63039,64497,68478,76624,83952,96054,97866,89527,88024,87983,85021,78890,80707,83501,85033,90249,100057,105537,88651,101122,111952,119997,19900
101,60588,60032,62935,66893,74790,88900,92132,97209,87841,86696,87918,87369,83396,84170,84867,86364,91030,99374,106500,90953,102447,113849,118449,20100
102,55808,58960,60695,64115,70677,83296,87214,93210,88309,84385,84635,81968,78020,78830,79109,82676,87860,94387,99836,86716,98885,111139,119246,20300
103,56664,57507,63066,65123,70262,81836,86279,91534,86446,86043,85372,80412,76425,78924,78741,83740,90304,96736,101770,88710,103721,115128,117642,20500
104,60016,56161,61130,62676,67627,78034,83491,88424,82412,80733,80861,77416,74421,74502,78311,81220,85644,92628,92864,84174,96380,107993,113772,20700
105,55051,55250,60114,61349,67053,75635,83889,87937,80926,79527,79184,76832,72233,72194,74541,78618,84291,91533,95591,83131,95049,107088,112910,20900
106,56573,62190,63993,65956,70675,79756,88576,91608,85779,84655,86897,82445,77755,78138,78462,81805,88088,94827,99638,85035,99387,109134,115524,21100
107,50881,56149,57476,59818,64016,71459,84594,83786,79026,77167,77762,76199,70124,69715,71586,74976,79480,87955,91171,78086,93531,103615,111035,21300
108,51225,61054,57188,59548,63603,69444,85698,85033,78234,76595,75711,76186,70127,70065,70658,74495,81123,87300,90630,79037,91800,103279,110674,21500
109,53124,60606,59660,62267,65851,71230,84368,89978,79867,77683,76884,75285,69207,70731,72123,73885,78246,85296,91248,79848,89760,101778,115112,21700
110,51622,53649,56980,57506,60420,66596,77789,85136,76781,74553,73635,71259,66538,66813,68795,71362,76338,83760,90172,78407,89639,101889,109484,21900
